Date,Price,Open,High,Low,Vol,Change %
15-Dec-14,"13,705.14","13,758.28","13,852.14","13,635.53",300.38M,-0.19%
12-Dec-14,"13,731.05","13,847.33","13,889.07","13,713.17",274.63M,-1.25%
11-Dec-14,"13,905.12","13,828.25","14,083.74","13,827.43",258.58M,0.38%
10-Dec-14,"13,852.95","14,167.27","14,167.27","13,779.54",307.75M,-2.41%
09-Dec-14,"14,195.73","14,083.33","14,195.73","14,001.03",279.98M,0.36%
08-Dec-14,"14,144.17","14,410.05","14,410.05","13,983.71",285.28M,-2.28%
05-Dec-14,"14,473.70","14,483.29","14,542.02","14,435.04",252.70M,0.03%
04-Dec-14,"14,469.95","14,789.02","14,789.02","14,433.59",316.82M,-1.93%
03-Dec-14,"14,754.06","14,638.32","14,769.27","14,627.06",240.76M,0.92%
02-Dec-14,"14,620.07","14,610.06","14,707.65","14,570.67",294.65M,-0.04%
01-Dec-14,"14,625.32","14,753.51","14,771.78","14,558.20",303.96M,-0.81%
28-Nov-14,"14,744.70","14,871.81","14,871.81","14,743.85",211.44M,-1.19%
27-Nov-14,"14,922.44","15,026.01","15,033.63","14,866.59",156.01M,-0.77%
26-Nov-14,"15,038.41","15,055.82","15,060.38","15,003.86",152.80M,-0.23%
25-Nov-14,"15,073.65","15,031.60","15,100.48","15,031.60",286.52M,0.39%
24-Nov-14,"15,015.41","15,121.42","15,132.64","14,980.16",164.25M,-0.63%
21-Nov-14,"15,111.13","15,134.12","15,184.36","15,087.42",206.02M,0.24%
20-Nov-14,"15,075.18","14,966.41","15,075.18","14,948.20",197.52M,0.63%
19-Nov-14,"14,980.15","14,996.88","15,012.61","14,914.38",211.94M,0.05%
18-Nov-14,"14,972.97","14,911.93","14,989.96","14,911.93",193.04M,0.61%
17-Nov-14,"14,882.50","14,825.86","14,950.53","14,825.86",183.31M,0.27%
14-Nov-14,"14,843.10","14,778.99","14,843.10","14,748.10",210.83M,0.44%
13-Nov-14,"14,778.77","14,867.14","14,890.82","14,739.79",196.54M,-0.52%
12-Nov-14,"14,856.20","14,736.25","14,856.20","14,696.92",209.37M,0.65%
11-Nov-14,"14,760.27","14,720.84","14,770.72","14,688.18",162.24M,0.34%
10-Nov-14,"14,709.80","14,729.13","14,768.98","14,671.74",191.84M,0.13%
07-Nov-14,"14,690.83","14,574.13","14,712.05","14,561.33",216.67M,0.88%
06-Nov-14,"14,563.38","14,576.46","14,640.92","14,488.11",215.20M,0.10%
05-Nov-14,"14,548.26","14,452.26","14,599.72","14,441.21",235.83M,1.10%
04-Nov-14,"14,390.43","14,522.84","14,522.84","14,327.02",234.61M,-1.01%
03-Nov-14,"14,537.62","14,632.15","14,637.56","14,519.33",173.20M,-0.52%
31-Oct-14,"14,613.32","14,510.38","14,626.98","14,507.55",261.26M,1.07%
30-Oct-14,"14,458.69","14,500.89","14,546.49","14,412.96",193.27M,-0.47%
29-Oct-14,"14,527.57","14,634.25","14,641.33","14,471.60",197.55M,-0.66%
28-Oct-14,"14,624.25","14,503.11","14,628.62","14,473.87",161.52M,1.07%
27-Oct-14,"14,469.00","14,525.95","14,525.95","14,385.32",150.43M,-0.51%
24-Oct-14,"14,543.82","14,489.04","14,569.42","14,436.64",143.07M,0.39%
23-Oct-14,"14,486.83","14,407.83","14,529.13","14,384.53",174.79M,1.22%
22-Oct-14,"14,312.07","14,574.25","14,584.33","14,295.07",202.87M,-1.62%
21-Oct-14,"14,547.71","14,413.18","14,564.06","14,364.57",189.09M,1.46%
20-Oct-14,"14,337.77","14,240.11","14,354.77","14,180.10",162.36M,0.77%
17-Oct-14,"14,227.68","14,142.04","14,297.17","14,142.04",238.64M,1.24%
16-Oct-14,"14,052.97","13,775.76","14,166.33","13,646.79",267.56M,1.32%
15-Oct-14,"13,869.88","13,957.26","13,957.26","13,677.34",305.50M,-1.19%
14-Oct-14,"14,036.68","14,185.21","14,185.21","13,977.73",257.77M,-1.34%
10-Oct-14,"14,227.36","14,438.45","14,438.45","14,188.75",245.69M,-1.61%
09-Oct-14,"14,460.60","14,661.66","14,661.66","14,399.98",226.72M,-1.40%
08-Oct-14,"14,666.47","14,584.50","14,678.32","14,439.62",257.07M,0.62%
07-Oct-14,"14,576.45","14,716.14","14,757.89","14,572.18",189.99M,-1.13%
06-Oct-14,"14,743.12","14,829.59","14,878.67","14,743.12",153.07M,-0.32%
03-Oct-14,"14,789.78","14,782.04","14,875.01","14,763.66",195.63M,0.20%
02-Oct-14,"14,760.64","14,781.48","14,781.48","14,545.59",234.46M,-0.30%
01-Oct-14,"14,805.44","14,958.50","14,958.50","14,764.02",192.40M,-1.04%
30-Sep-14,"14,960.51","14,968.38","15,047.13","14,899.28",217.76M,-0.11%
29-Sep-14,"14,976.92","14,976.24","15,011.88","14,853.64",161.73M,-0.33%
26-Sep-14,"15,026.77","14,893.83","15,055.82","14,821.71",162.32M,0.89%
25-Sep-14,"14,893.57","15,120.54","15,120.54","14,879.30",191.93M,-1.50%
24-Sep-14,"15,120.54","15,125.67","15,164.68","15,005.62",192.04M,-0.03%
23-Sep-14,"15,125.67","15,124.98","15,171.00","15,089.41",163.29M,-0.02%
22-Sep-14,"15,129.00","15,259.41","15,266.11","15,117.50",182.38M,-0.89%
19-Sep-14,"15,265.35","15,461.26","15,461.26","15,238.00",453.00M,-1.29%
18-Sep-14,"15,465.54","15,458.88","15,477.02","15,422.47",173.52M,0.04%
17-Sep-14,"15,458.88","15,509.68","15,520.40","15,428.34",152.94M,-0.33%
16-Sep-14,"15,510.54","15,482.15","15,556.18","15,442.71",182.34M,0.18%
15-Sep-14,"15,482.56","15,530.85","15,530.85","15,442.05",149.60M,-0.32%
12-Sep-14,"15,531.58","15,534.07","15,580.46","15,498.12",147.28M,-0.02%
11-Sep-14,"15,534.32","15,471.56","15,546.54","15,432.28",164.48M,0.40%
10-Sep-14,"15,471.89","15,536.81","15,536.81","15,434.11",135.97M,-0.42%
09-Sep-14,"15,536.81","15,510.11","15,564.23","15,500.06",163.20M,0.18%
08-Sep-14,"15,509.39","15,569.92","15,569.92","15,482.36",132.82M,-0.39%
05-Sep-14,"15,569.92","15,576.79","15,589.90","15,525.16",151.72M,-0.04%
04-Sep-14,"15,576.79","15,657.51","15,674.23","15,541.88",159.22M,-0.52%
03-Sep-14,"15,657.63","15,619.08","15,685.13","15,619.08",153.23M,0.25%
02-Sep-14,"15,619.08","15,626.85","15,627.77","15,574.14",146.21M,-0.04%
29-Aug-14,"15,625.73","15,558.17","15,632.58","15,516.47",157.61M,0.43%
28-Aug-14,"15,558.17","15,600.78","15,600.78","15,541.95",114.80M,-0.29%
27-Aug-14,"15,602.65","15,619.21","15,624.51","15,559.82",119.75M,-0.11%
26-Aug-14,"15,619.21","15,599.50","15,653.38","15,599.50",128.56M,0.13%
25-Aug-14,"15,598.74","15,535.94","15,623.99","15,535.94",101.68M,0.41%
22-Aug-14,"15,535.55","15,556.09","15,574.23","15,495.06",102.24M,-0.13%
21-Aug-14,"15,556.09","15,561.72","15,566.53","15,526.01",123.91M,-0.04%
20-Aug-14,"15,561.95","15,477.68","15,570.45","15,425.82",140.33M,0.55%
19-Aug-14,"15,477.17","15,339.53","15,496.32","15,339.53",126.25M,0.90%
18-Aug-14,"15,338.47","15,304.24","15,368.98","15,304.24",109.60M,0.22%
15-Aug-14,"15,304.24","15,290.75","15,307.31","15,182.13",147.69M,0.09%
14-Aug-14,"15,291.18","15,262.73","15,312.86","15,257.46",138.44M,0.19%
13-Aug-14,"15,262.73","15,274.78","15,309.87","15,242.86",140.80M,-0.08%
12-Aug-14,"15,274.23","15,261.64","15,319.87","15,229.69",153.17M,0.08%
11-Aug-14,"15,261.64","15,196.31","15,301.18","15,196.31",126.26M,0.43%
08-Aug-14,"15,196.31","15,118.43","15,204.56","15,092.11",137.21M,0.52%
07-Aug-14,"15,118.43","15,201.42","15,254.75","15,056.11",172.81M,-0.55%
06-Aug-14,"15,202.09","15,184.58","15,226.31","15,121.99",149.16M,0.09%
05-Aug-14,"15,187.71","15,215.87","15,254.68","15,130.82",173.57M,-0.18%
01-Aug-14,"15,215.26","15,330.77","15,371.76","15,130.85",170.39M,-0.75%
31-Jul-14,"15,330.74","15,524.82","15,524.82","15,275.05",207.81M,-1.25%
30-Jul-14,"15,524.82","15,449.03","15,527.30","15,449.03",185.08M,0.51%
29-Jul-14,"15,446.55","15,445.22","15,506.09","15,445.22",139.32M,0.01%
28-Jul-14,"15,445.22","15,452.25","15,465.29","15,406.10",134.92M,-0.06%
25-Jul-14,"15,455.04","15,394.45","15,503.40","15,379.68",140.41M,0.39%
24-Jul-14,"15,394.45","15,394.38","15,421.39","15,370.09",157.10M,0.00%
23-Jul-14,"15,394.38","15,314.88","15,395.74","15,313.34",146.91M,0.52%
22-Jul-14,"15,315.13","15,251.86","15,343.51","15,251.86",147.36M,0.43%
21-Jul-14,"15,249.99","15,266.37","15,266.37","15,208.84",96.35M,-0.11%
18-Jul-14,"15,266.57","15,202.10","15,291.15","15,179.26",132.33M,0.41%
17-Jul-14,"15,204.48","15,226.34","15,269.39","15,186.14",163.18M,-0.14%
16-Jul-14,"15,226.34","15,081.32","15,240.84","15,081.32",160.84M,0.96%
15-Jul-14,"15,081.32","15,171.11","15,177.85","15,057.35",187.12M,-0.59%
14-Jul-14,"15,171.23","15,125.05","15,180.41","15,125.05",141.52M,0.30%
11-Jul-14,"15,125.50","15,115.09","15,138.72","15,082.80",140.34M,0.07%
10-Jul-14,"15,114.48","15,214.35","15,214.35","15,100.15",175.00M,-0.66%
09-Jul-14,"15,215.19","15,136.85","15,216.08","15,120.98",176.98M,0.52%
08-Jul-14,"15,137.18","15,172.93","15,172.93","15,021.05",185.87M,-0.24%
07-Jul-14,"15,172.93","15,215.39","15,215.39","15,107.18",143.43M,-0.28%
04-Jul-14,"15,214.96","15,207.11","15,246.80","15,207.11",48.78M,0.05%
03-Jul-14,"15,207.11","15,210.16","15,256.36","15,195.88",145.99M,-0.02%
02-Jul-14,"15,209.79","15,146.01","15,223.04","15,146.01",166.81M,0.42%
30-Jun-14,"15,146.01","15,092.75","15,146.01","15,060.83",122.51M,0.34%
27-Jun-14,"15,094.25","15,030.74","15,094.25","15,016.96",122.73M,0.42%
26-Jun-14,"15,030.74","14,974.65","15,036.78","14,937.88",121.77M,0.37%
25-Jun-14,"14,974.65","14,962.75","15,013.21","14,952.37",156.10M,0.08%
24-Jun-14,"14,962.37","15,106.21","15,137.68","14,956.76",185.12M,-0.95%
23-Jun-14,"15,105.63","15,109.42","15,117.95","15,073.82",145.50M,-0.02%
20-Jun-14,"15,108.97","15,112.22","15,124.89","15,086.62",359.78M,-0.02%
19-Jun-14,"15,112.21","15,109.25","15,119.94","15,081.93",225.80M,0.02%
18-Jun-14,"15,109.25","15,059.16","15,115.38","15,057.96",155.02M,0.35%
17-Jun-14,"15,055.89","15,039.97","15,074.74","15,006.37",136.56M,0.10%
16-Jun-14,"15,040.43","15,001.61","15,075.70","15,001.61",150.46M,0.26%
13-Jun-14,"15,001.61","14,910.20","15,017.19","14,904.68",154.13M,0.62%
12-Jun-14,"14,909.63","14,891.43","14,922.64","14,857.43",179.03M,0.12%
11-Jun-14,"14,892.13","14,904.47","14,904.47","14,850.41",164.84M,-0.08%
10-Jun-14,"14,904.38","14,870.31","14,909.31","14,858.95",136.80M,0.22%
09-Jun-14,"14,871.21","14,838.90","14,896.68","14,832.63",120.80M,0.22%
06-Jun-14,"14,838.90","14,800.18","14,840.45","14,788.57",122.81M,0.26%
05-Jun-14,"14,800.18","14,796.97","14,821.73","14,736.39",175.14M,0.02%
04-Jun-14,"14,796.79","14,734.61","14,805.96","14,670.03",150.93M,0.42%
03-Jun-14,"14,734.69","14,680.91","14,747.86","14,659.36",171.52M,0.37%
02-Jun-14,"14,680.76","14,604.19","14,680.76","14,604.19",136.35M,0.52%
30-May-14,"14,604.16","14,588.98","14,630.31","14,537.08",220.32M,0.10%
29-May-14,"14,588.95","14,610.96","14,631.12","14,529.09",146.30M,-0.15%
28-May-14,"14,610.96","14,658.02","14,658.02","14,557.89",133.45M,-0.32%
27-May-14,"14,658.02","14,715.71","14,725.42","14,634.94",159.88M,-0.39%
26-May-14,"14,715.69","14,708.11","14,764.97","14,701.07",39.63M,0.05%
23-May-14,"14,708.10","14,702.29","14,713.69","14,684.80",110.15M,0.04%
22-May-14,"14,702.29","14,649.86","14,742.48","14,649.86",123.30M,0.36%
21-May-14,"14,649.86","14,525.19","14,650.25","14,525.19",145.06M,0.86%
20-May-14,"14,525.19","14,514.74","14,564.97","14,488.59",129.60M,0.07%
16-May-14,"14,514.74","14,588.89","14,588.89","14,473.78",139.02M,-0.51%
15-May-14,"14,588.89","14,673.73","14,673.73","14,516.15",205.18M,-0.58%
14-May-14,"14,673.73","14,679.81","14,706.13","14,660.43",121.70M,-0.04%
13-May-14,"14,679.81","14,654.94","14,687.76","14,636.50",131.26M,0.17%
12-May-14,"14,654.94","14,535.56","14,657.28","14,535.56",136.03M,0.83%
09-May-14,"14,534.06","14,546.03","14,580.90","14,491.89",153.78M,-0.08%
08-May-14,"14,546.03","14,656.40","14,693.15","14,512.12",167.13M,-0.75%
07-May-14,"14,656.40","14,612.64","14,662.28","14,572.13",164.76M,0.30%
06-May-14,"14,612.29","14,697.03","14,697.03","14,593.61",134.64M,-0.58%
05-May-14,"14,697.03","14,765.15","14,765.15","14,665.82",126.81M,-0.46%
02-May-14,"14,765.15","14,664.48","14,765.15","14,664.48",152.16M,0.69%
01-May-14,"14,664.07","14,651.87","14,684.15","14,639.54",155.59M,0.08%
30-Apr-14,"14,651.87","14,583.11","14,662.01","14,569.32",173.05M,0.47%
29-Apr-14,"14,583.11","14,530.91","14,613.03","14,520.22",153.53M,0.36%
28-Apr-14,"14,530.91","14,533.57","14,557.31","14,459.78",135.66M,-0.02%
25-Apr-14,"14,533.57","14,554.25","14,554.25","14,472.08",149.22M,-0.14%
24-Apr-14,"14,554.25","14,533.39","14,584.10","14,522.16",181.77M,0.14%
23-Apr-14,"14,533.39","14,556.27","14,587.09","14,533.39",166.98M,-0.16%
22-Apr-14,"14,555.97","14,492.87","14,556.60","14,471.87",159.64M,0.43%
21-Apr-14,"14,493.68","14,500.39","14,509.66","14,465.30",135.97M,-0.05%
17-Apr-14,"14,500.39","14,446.52","14,508.54","14,423.73",169.28M,0.37%
16-Apr-14,"14,446.52","14,303.92","14,448.64","14,303.92",196.05M,1.00%
15-Apr-14,"14,303.92","14,284.43","14,355.47","14,224.85",176.43M,0.14%
14-Apr-14,"14,284.43","14,257.69","14,357.03","14,245.46",161.85M,0.19%
11-Apr-14,"14,257.69","14,308.00","14,308.00","14,221.39",159.71M,-0.35%
10-Apr-14,"14,308.00","14,435.58","14,444.94","14,266.57",209.55M,-0.88%
09-Apr-14,"14,435.58","14,372.43","14,444.56","14,372.43",182.48M,0.44%
08-Apr-14,"14,372.45","14,270.33","14,382.79","14,251.92",161.33M,0.72%
07-Apr-14,"14,270.33","14,393.10","14,393.10","14,247.05",151.54M,-0.85%
04-Apr-14,"14,393.10","14,402.14","14,474.65","14,364.03",165.40M,-0.06%
03-Apr-14,"14,402.21","14,459.11","14,459.11","14,352.13",154.67M,-0.39%
02-Apr-14,"14,459.11","14,380.57","14,471.53","14,380.57",206.41M,0.55%
01-Apr-14,"14,380.55","14,335.31","14,390.26","14,335.31",155.76M,0.32%
31-Mar-14,"14,335.31","14,260.72","14,358.47","14,260.72",210.51M,0.52%
28-Mar-14,"14,260.72","14,178.84","14,300.21","14,178.84",172.80M,0.58%
27-Mar-14,"14,178.84","14,184.10","14,197.71","14,139.29",189.63M,-0.04%
26-Mar-14,"14,184.10","14,299.93","14,345.40","14,179.47",192.88M,-0.81%
25-Mar-14,"14,299.49","14,278.55","14,328.38","14,278.55",137.84M,0.15%
24-Mar-14,"14,278.55","14,335.76","14,402.49","14,226.88",163.18M,-0.40%
21-Mar-14,"14,335.76","14,361.87","14,406.86","14,335.76",307.31M,-0.18%
20-Mar-14,"14,361.83","14,332.21","14,377.61","14,264.81",153.13M,0.19%
19-Mar-14,"14,334.04","14,368.98","14,380.91","14,297.35",159.49M,-0.24%
18-Mar-14,"14,368.98","14,232.00","14,372.46","14,228.58",173.98M,0.96%
17-Mar-14,"14,231.89","14,227.71","14,315.22","14,219.97",155.01M,0.03%
14-Mar-14,"14,227.66","14,245.03","14,276.85","14,205.73",153.69M,-0.12%
13-Mar-14,"14,245.14","14,319.00","14,328.66","14,215.26",182.70M,-0.52%
12-Mar-14,"14,319.00","14,267.23","14,329.78","14,201.18",178.73M,0.36%
11-Mar-14,"14,267.23","14,302.06","14,330.38","14,260.06",158.44M,-0.24%
10-Mar-14,"14,302.06","14,298.97","14,323.37","14,266.75",134.74M,0.02%
07-Mar-14,"14,299.08","14,276.45","14,335.52","14,268.77",169.91M,0.19%
06-Mar-14,"14,271.92","14,304.17","14,323.28","14,264.68",174.34M,-0.23%
05-Mar-14,"14,304.17","14,289.86","14,309.20","14,260.97",161.99M,0.10%
04-Mar-14,"14,289.86","14,212.74","14,328.48","14,212.74",160.31M,0.54%
03-Mar-14,"14,212.74","14,209.67","14,258.96","14,160.93",173.74M,0.02%
28-Feb-14,"14,209.59","14,214.43","14,280.85","14,203.36",210.87M,-0.04%
27-Feb-14,"14,214.74","14,188.58","14,247.32","14,185.53",182.31M,0.18%
26-Feb-14,"14,188.58","14,189.17","14,228.82","14,176.44",178.40M,0.00%
25-Feb-14,"14,188.98","14,227.08","14,232.94","14,179.27",171.87M,-0.27%
24-Feb-14,"14,227.08","14,205.72","14,278.63","14,205.72",178.50M,0.15%
21-Feb-14,"14,205.72","14,212.05","14,253.16","14,205.72",184.29M,-0.03%
20-Feb-14,"14,210.37","14,119.73","14,222.60","14,112.02",207.86M,0.64%
19-Feb-14,"14,119.73","14,077.47","14,174.27","14,077.47",218.23M,0.30%
