Date,Price,Open,High,Low,Volume,Change,Country
2012-04-30,5248.15,5201.45,5262.15,5201.45,108.14,1.11,India
2012-04-27,5190.6,5189.0,5223.05,5154.3,128.76,0.03,India
2012-04-26,5189.0,5214.75,5215.6,5179.05,185.9,-0.25,India
2012-04-25,5202.0,5222.2,5236.1,5160.65,142.91,-0.4,India
2012-04-24,5222.65,5215.9,5232.35,5180.35,155.68,0.42,India
2012-04-23,5200.6,5277.4,5310.55,5187.15,138.04,-1.71,India
2012-04-20,5290.85,5313.95,5336.15,5245.45,135.25,-0.78,India
2012-04-19,5332.4,5320.6,5342.45,5291.3,133.55,0.61,India
2012-04-18,5300.0,5320.7,5342.0,5293.45,152.74,0.19,India
2012-04-17,5289.7,5266.6,5298.2,5208.35,178.9,1.22,India
2012-04-16,5226.2,5190.6,5233.5,5183.5,119.73,0.36,India
2012-04-13,5207.45,5255.7,5306.75,5185.4,164.23,-1.32,India
2012-04-12,5276.85,5246.75,5290.6,5246.75,152.68,0.96,India
2012-04-11,5226.85,5209.45,5263.65,5190.8,167.01,-0.32,India
2012-04-10,5243.6,5254.1,5255.8,5211.85,156.11,0.18,India
2012-04-09,5234.4,5282.5,5287.9,5228.0,111.92,-1.66,India
2012-04-04,5322.9,5328.65,5338.4,5305.3,122.11,-0.66,India
2012-04-03,5358.5,5353.2,5378.75,5344.45,152.5,0.76,India
2012-04-02,5317.9,5296.35,5331.55,5278.8,134.54,0.42,India
2012-03-30,5295.55,5206.6,5307.1,5203.65,164.79,2.25,India
2012-03-29,5178.85,5145.95,5194.3,5135.95,242.56,-0.31,India
2012-03-28,5194.75,5231.7,5236.55,5169.6,145.8,-0.92,India
2012-03-27,5243.15,5242.95,5277.95,5184.65,208.78,1.14,India
2012-03-26,5184.25,5274.35,5274.95,5174.9,169.79,-1.78,India
2012-03-23,5278.2,5255.65,5312.0,5220.0,172.74,0.95,India
2012-03-22,5228.45,5361.1,5385.95,5205.65,205.58,-2.54,India
2012-03-21,5364.95,5267.2,5372.35,5256.0,199.79,1.71,India
2012-03-20,5274.85,5257.15,5297.35,5233.25,181.34,0.34,India
2012-03-19,5257.05,5337.35,5340.7,5238.55,179.88,-1.14,India
2012-03-16,5317.9,5380.35,5445.65,5305.0,267.52,-1.16,India
2012-03-15,5380.5,5462.5,5462.5,5362.3,160.26,-1.53,India
2012-03-14,5463.9,5490.55,5499.4,5437.8,181.71,0.63,India
2012-03-13,5429.5,5391.05,5438.65,5390.8,179.96,1.31,India
2012-03-12,5359.55,5420.1,5421.9,5327.3,176.67,0.49,India
2012-03-09,5333.55,5294.1,5342.3,5291.6,203.01,2.17,India
2012-03-07,5220.45,5207.05,5243.85,5171.45,230.73,-0.04,India
2012-03-06,5222.4,5266.0,5382.05,5206.4,290.4,-1.1,India
2012-03-05,5280.35,5342.55,5344.5,5265.7,196.42,-1.47,India
2012-03-03,5359.4,5360.05,5369.6,5353.4,16.77,0.0,India
2012-03-02,5359.35,5369.45,5392.55,5315.05,185.02,0.37,India
2012-03-01,5339.75,5366.0,5372.45,5297.5,196.87,-0.84,India
2012-02-29,5385.2,5424.95,5458.8,5352.25,226.02,0.18,India
2012-02-28,5375.5,5310.5,5391.1,5306.45,208.13,1.79,India
2012-02-27,5281.2,5448.1,5449.8,5268.15,235.32,-2.73,India
2012-02-24,5429.3,5479.15,5521.4,5405.9,364.66,-0.98,India
2012-02-23,5483.3,5490.05,5537.4,5460.8,307.25,-0.4,India
2012-02-22,5505.35,5609.75,5629.95,5491.35,263.01,-1.82,India
2012-02-21,5607.15,5561.9,5621.5,5561.75,231.13,0.77,India
2012-02-17,5564.3,5574.2,5606.7,5545.2,329.31,0.77,India
2012-02-16,5521.95,5513.75,5531.4,5483.75,270.06,-0.18,India
2012-02-15,5531.95,5460.6,5542.1,5460.6,314.37,2.14,India
2012-02-14,5416.05,5380.8,5428.05,5377.95,201.41,0.48,India
2012-02-13,5390.2,5382.1,5421.05,5351.4,181.56,0.16,India
2012-02-10,5381.6,5399.8,5427.75,5341.05,225.35,-0.57,India
2012-02-09,5412.35,5343.05,5423.4,5338.9,255.31,0.82,India
2012-02-08,5368.15,5343.8,5396.9,5325.2,236.14,0.62,India
2012-02-07,5335.15,5412.95,5413.35,5322.95,181.2,-0.49,India
2012-02-06,5361.65,5379.45,5390.05,5327.25,215.08,0.67,India
2012-02-03,5325.85,5276.1,5334.85,5255.55,217.36,1.06,India
2012-02-02,5269.9,5272.1,5289.95,5225.75,337.96,0.65,India
2012-02-01,5235.7,5198.15,5244.6,5159.0,234.9,0.7,India
2012-01-31,5199.25,5125.25,5215.4,5120.15,215.77,2.2,India
2012-01-30,5087.3,5163.55,5166.15,5076.7,181.14,-2.26,India
2012-01-27,5204.7,5216.75,5217.0,5162.4,215.92,0.9,India
2012-01-25,5158.3,5151.5,5174.15,5130.25,219.18,0.6,India
2012-01-24,5127.35,5064.8,5141.05,5049.8,202.01,1.61,India
2012-01-23,5046.25,5025.35,5059.55,5021.35,158.18,-0.05,India
2012-01-20,5048.6,5044.85,5064.15,5004.3,221.05,0.6,India
2012-01-19,5018.4,4995.0,5023.8,4991.4,203.49,1.26,India
2012-01-18,4955.8,4977.75,4980.65,4931.05,211.2,-0.23,India
2012-01-17,4967.3,4904.5,4975.55,4904.0,223.0,1.92,India
2012-01-16,4873.9,4844.0,4880.8,4827.05,160.48,0.16,India
2012-01-13,4866.0,4861.95,4898.85,4834.2,230.94,0.72,India
2012-01-12,4831.25,4840.95,4869.2,4803.9,183.07,-0.61,India
2012-01-11,4860.95,4863.15,4877.2,4841.6,209.08,0.24,India
2012-01-10,4849.55,4771.85,4855.9,4768.25,201.66,2.25,India
2012-01-09,4742.8,4747.55,4758.7,4695.45,147.54,-0.09,India
2012-01-07,4746.9,4755.6,4759.4,4743.05,187.84,-0.15,India
2012-01-06,4754.1,4724.15,4794.9,4686.85,176.06,0.09,India
2012-01-05,4749.95,4749.0,4779.8,4730.15,177.86,0.01,India
2012-01-04,4749.65,4774.95,4782.85,4728.85,165.94,-0.33,India
2012-01-03,4765.3,4675.8,4773.1,4675.8,146.62,2.77,India
2012-01-02,4636.75,4640.2,4645.95,4588.05,108.46,0.27,India
2011-12-30,4624.3,4659.95,4690.45,4608.9,113.9,-0.47,India
