"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","4,854.75","4,920.68","4,931.24","4,812.19","7.17B","-1.34%"
"Jun 10, 2020","4,920.68","5,035.06","5,036.86","4,892.82","8.42B","-2.27%"
"Jun 09, 2020","5,035.06","5,070.56","5,139.41","5,023.77","11.51B","-0.70%"
"Jun 08, 2020","5,070.56","4,947.78","5,103.09","4,947.78","13.82B","2.48%"
"Jun 05, 2020","4,947.78","4,916.70","4,948.51","4,851.15","8.69B","0.63%"
"Jun 04, 2020","4,916.70","4,941.01","5,014.76","4,899.39","11.09B","-0.49%"
"Jun 03, 2020","4,941.01","4,847.51","4,960.07","4,847.51","10.16B","1.93%"
"Jun 02, 2020","4,847.51","4,753.61","4,884.01","4,753.61","7.31B","1.98%"
"May 29, 2020","4,753.61","4,716.19","4,755.96","4,704.79","10.48B","0.79%"
"May 28, 2020","4,716.19","4,641.56","4,741.60","4,638.81","6.85B","1.61%"
"May 27, 2020","4,641.56","4,626.80","4,641.56","4,597.37","6.10B","0.32%"
"May 26, 2020","4,626.80","4,545.95","4,634.65","4,541.83","5.38B","1.78%"
"May 20, 2020","4,545.95","4,548.66","4,561.55","4,521.47","4.25B","-0.06%"
"May 19, 2020","4,548.66","4,511.06","4,609.04","4,511.06","5.17B","0.83%"
"May 18, 2020","4,511.06","4,507.61","4,527.97","4,487.18","4.52B","0.08%"
"May 15, 2020","4,507.61","4,513.83","4,540.42","4,460.27","4.63B","-0.14%"
"May 14, 2020","4,513.83","4,554.36","4,564.15","4,494.15","4.73B","-0.89%"
"May 13, 2020","4,554.36","4,588.73","4,588.73","4,519.98","4.51B","-0.75%"
"May 12, 2020","4,588.73","4,639.10","4,644.13","4,552.39","4.69B","-1.09%"
"May 11, 2020","4,639.10","4,597.43","4,659.86","4,597.43","4.55B","0.91%"
"May 08, 2020","4,597.43","4,608.79","4,630.59","4,586.74","4.78B","-0.25%"
"May 06, 2020","4,608.79","4,630.13","4,647.52","4,597.75","4.51B","-0.46%"
"May 05, 2020","4,630.13","4,605.49","4,667.79","4,605.49","4.78B","0.54%"
"May 04, 2020","4,605.49","4,716.40","4,716.40","4,576.23","3.91B","-2.35%"
"Apr 30, 2020","4,716.40","4,567.32","4,726.77","4,567.32","6.02B","3.26%"
"Apr 29, 2020","4,567.32","4,529.55","4,568.67","4,523.96","4.15B","0.83%"
"Apr 28, 2020","4,529.55","4,513.14","4,532.38","4,494.47","4.54B","0.36%"
"Apr 27, 2020","4,513.14","4,496.06","4,541.31","4,474.89","3.68B","0.38%"
"Apr 24, 2020","4,496.06","4,593.55","4,593.83","4,496.06","4.61B","-2.12%"
"Apr 23, 2020","4,593.55","4,567.56","4,629.03","4,567.56","4.95B","0.57%"
"Apr 22, 2020","4,567.56","4,501.92","4,580.68","4,441.09","4.84B","1.46%"
"Apr 21, 2020","4,501.92","4,575.90","4,575.90","4,482.64","4.23B","-1.62%"
"Apr 20, 2020","4,575.90","4,634.82","4,669.54","4,573.77","5.21B","-1.27%"
"Apr 17, 2020","4,634.82","4,480.61","4,637.24","4,480.61","5.45B","3.44%"
"Apr 16, 2020","4,480.61","4,625.90","4,625.90","4,463.81","5.63B","-3.14%"
"Apr 15, 2020","4,625.90","4,706.49","4,747.73","4,605.05","6.31B","-1.71%"
"Apr 14, 2020","4,706.49","4,623.89","4,706.49","4,623.89","5.52B","1.79%"
"Apr 13, 2020","4,623.89","4,649.08","4,659.03","4,591.73","4.56B","-0.54%"
"Apr 09, 2020","4,649.08","4,626.69","4,669.71","4,562.90","5.35B","0.48%"
"Apr 08, 2020","4,626.69","4,778.64","4,780.21","4,583.90","4.56B","-3.18%"
"Apr 07, 2020","4,778.64","4,811.83","4,975.54","4,721.72","8.62B","-0.69%"
"Apr 06, 2020","4,811.83","4,623.43","4,811.83","4,623.43","7.05B","4.07%"
"Apr 03, 2020","4,623.43","4,531.69","4,623.43","4,531.81","5.87B","2.02%"
"Apr 02, 2020","4,531.69","4,466.04","4,531.69","4,393.67","4.60B","1.47%"
"Apr 01, 2020","4,466.04","4,538.93","4,627.42","4,445.14","4.18B","-1.61%"
"Mar 31, 2020","4,538.93","4,414.50","4,569.47","4,414.50","4.34B","2.82%"
"Mar 30, 2020","4,414.50","4,545.57","4,545.57","4,317.71","2.76B","-2.88%"
"Mar 27, 2020","4,545.57","4,338.90","4,697.67","4,338.90","7.79B","4.76%"
"Mar 26, 2020","4,338.90","3,937.63","4,370.66","3,935.91","8.11B","10.19%"
"Mar 24, 2020","3,937.63","3,989.52","4,123.56","3,911.72","4.57B","-1.30%"
"Mar 23, 2020","3,989.52","4,194.94","4,194.94","3,975.19","3.25B","-4.90%"
"Mar 20, 2020","4,194.94","4,105.42","4,238.26","3,918.34","6.30B","2.18%"
"Mar 19, 2020","4,105.42","4,330.67","4,330.67","4,093.71","2.64B","-5.20%"
"Mar 18, 2020","4,330.67","4,456.75","4,473.82","4,284.67","3.86B","-2.83%"
"Mar 17, 2020","4,456.75","4,690.66","4,698.04","4,447.96","3.07B","-4.99%"
"Mar 16, 2020","4,690.66","4,907.57","4,904.54","4,677.75","3.05B","-4.42%"
"Mar 13, 2020","4,907.57","4,895.75","4,937.99","4,639.91","4.63B","0.24%"
"Mar 12, 2020","4,895.75","5,040.96","5,040.99","4,895.75","3.70B","-5.01%"
"Mar 11, 2020","5,154.10","5,231.61","5,264.48","5,112.32","4.67B","-1.28%"
"Mar 10, 2020","5,220.83","5,149.49","5,278.42","5,149.45","4.45B","1.64%"
"Mar 09, 2020","5,136.81","5,364.60","5,364.60","5,133.15","4.27B","-6.58%"
"Mar 06, 2020","5,498.54","5,575.57","5,577.80","5,498.54","3.24B","-2.48%"
