"Date","Price","Open","High","Low","Vol.","Change %"
"May 19, 2020","8,879.10","8,961.70","9,030.35","8,855.30","762.15K","0.63%"
"May 18, 2020","8,823.25","9,158.30","9,158.30","8,806.75","772.98K","-3.43%"
"May 15, 2020","9,136.85","9,182.40","9,182.40","9,050.00","575.86K","-0.06%"
"May 14, 2020","9,142.75","9,213.95","9,281.10","9,119.75","602.56K","-2.57%"
"May 13, 2020","9,383.55","9,584.20","9,584.50","9,351.10","846.40K","2.03%"
"May 12, 2020","9,196.55","9,168.85","9,240.85","9,043.95","805.46K","-0.46%"
"May 11, 2020","9,239.20","9,348.15","9,439.90","9,219.95","704.65K","-0.13%"
"May 08, 2020","9,251.50","9,376.95","9,382.65","9,238.20","609.05K","0.57%"
"May 07, 2020","9,199.05","9,234.05","9,277.85","9,175.90","708.74K","-0.78%"
"May 06, 2020","9,270.90","9,226.80","9,346.90","9,116.50","722.19K","0.71%"
"May 05, 2020","9,205.60","9,429.40","9,450.90","9,190.75","725.20K","-0.95%"
"May 04, 2020","9,293.50","9,533.50","9,533.50","9,266.95","687.49K","-5.74%"
"Apr 30, 2020","9,859.90","9,753.50","9,889.05","9,731.50","931.17K","3.21%"
"Apr 29, 2020","9,553.35","9,408.60","9,599.85","9,392.35","653.03K","1.84%"
"Apr 28, 2020","9,380.90","9,389.80","9,404.40","9,260.00","614.55K","1.06%"
"Apr 27, 2020","9,282.30","9,259.70","9,377.10","9,250.35","512.79K","1.40%"
"Apr 24, 2020","9,154.40","9,163.90","9,296.90","9,141.30","659.44K","-1.71%"
"Apr 23, 2020","9,313.90","9,232.35","9,343.60","9,170.15","666.65K","1.38%"
"Apr 22, 2020","9,187.30","9,026.75","9,209.75","8,946.25","734.38K","2.29%"
"Apr 21, 2020","8,981.45","9,016.95","9,044.40","8,909.40","655.12K","-3.03%"
"Apr 20, 2020","9,261.85","9,390.20","9,390.85","9,230.80","726.37K","-0.05%"
"Apr 17, 2020","9,266.75","9,323.45","9,324.00","9,091.35","684.21K","3.05%"
"Apr 16, 2020","8,992.80","8,851.25","9,053.75","8,821.90","719.44K","0.76%"
"Apr 15, 2020","8,925.30","9,196.40","9,261.20","8,874.10","879.15K","-0.76%"
"Apr 13, 2020","8,993.85","9,103.95","9,112.05","8,912.40","643.97K","-1.30%"
"Apr 09, 2020","9,111.90","8,973.05","9,128.35","8,904.55","742.14K","4.15%"
"Apr 08, 2020","8,748.75","8,688.90","9,131.70","8,653.90","896.53K","-0.49%"
"Apr 07, 2020","8,792.20","8,446.30","8,819.40","8,360.95","814.18K","8.76%"
"Apr 03, 2020","8,083.80","8,356.55","8,356.55","8,055.80","697.03K","-2.06%"
"Apr 01, 2020","8,253.80","8,584.10","8,588.10","8,198.35","506.34K","-4.00%"
"Mar 31, 2020","8,597.75","8,529.35","8,678.30","8,358.00","712.66K","3.82%"
"Mar 30, 2020","8,281.10","8,385.95","8,576.00","8,244.00","593.25K","-4.38%"
"Mar 27, 2020","8,660.25","8,949.10","9,038.90","8,522.90","801.45K","0.22%"
"Mar 26, 2020","8,641.45","8,451.00","8,749.05","8,304.90","865.59K","3.89%"
"Mar 25, 2020","8,317.85","7,735.15","8,376.75","7,714.75","736.87K","6.62%"
"Mar 24, 2020","7,801.05","7,848.30","8,036.95","7,511.10","738.43K","2.51%"
"Mar 23, 2020","7,610.25","7,945.70","8,159.25","7,583.60","653.54K","-12.98%"
"Mar 20, 2020","8,745.45","8,284.45","8,883.00","8,178.20","1.07M","5.83%"
"Mar 19, 2020","8,263.45","8,063.30","8,575.45","7,832.55","925.72K","-2.42%"
"Mar 18, 2020","8,468.80","9,088.45","9,127.55","8,407.05","1.52M","-5.56%"
"Mar 17, 2020","8,967.05","9,285.40","9,403.80","8,915.60","935.62K","-2.50%"
"Mar 16, 2020","9,197.40","9,587.80","9,602.20","9,165.10","897.73K","-7.61%"
"Mar 13, 2020","9,955.20","9,107.60","10,159.40","8,555.15","1.39M","3.81%"
"Mar 12, 2020","9,590.15","10,039.95","10,040.75","9,508.00","1.34M","-8.30%"
"Mar 11, 2020","10,458.40","10,334.30","10,545.10","10,334.00","1.22M","0.07%"
"Mar 09, 2020","10,451.45","10,742.05","10,751.55","10,294.45","1.57M","-4.90%"
"Mar 06, 2020","10,989.45","10,942.65","11,035.10","10,827.40","1.81M","-2.48%"
"Mar 05, 2020","11,269.00","11,306.05","11,389.50","11,244.60","1.35M","0.16%"
